"filename", "language", "Properties", "JavaScript", "PHP", "YAML", "Markdown", "JSON", "HTML (Twig)", "SCSS", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\CategoriesController.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 73
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\CommentairesController.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\DashboardController.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 51
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\DevisController.php", "PHP", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 198
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\FacturesController.php", "PHP", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 190
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\MessagesController.php", "PHP", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41, 166
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\PaiementController.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\PortfoliosController.php", "PHP", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\ProjetsController.php", "PHP", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 215
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\TemoignagesController.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 78
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Admin\UsersController.php", "PHP", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 100
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Client\BlogController.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 17, 27, 96
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Client\DevisController.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Client\FacturesController.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Client\MessagesController.php", "PHP", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43, 168
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Client\PaiementController.php", "PHP", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 137
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Client\ProjetsController.php", "PHP", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 154
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\Client\TemoignagesController.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\DashboardController.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
